,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
433,버섯감자찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.93kcal
434,돼지고기육개장,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.15kcal
435,매콤깐풍기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,674.94kcal
436,콩나물밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.87kcal
437,돈육미나리볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,318.27kcal
438,감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.81kcal
439,쇠고기버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131.29kcal
440,시리얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.8kcal
441,홍합살짬뽕찌개,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,73.49kcal
442,비엔나소시지케찹볶음,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,347.48kcal
443,청양풍닭볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,253.12kcal
444,오징어튀김&칠리소스,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,648.78kcal
445,배주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
446,깐풍버섯덮밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,511.55kcal
447,콩나물야채튀김,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,373.81kcal
448,닭순살샐러드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101.73kcal
449,새우짬뽕찌개,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,89.73kcal
450,멸치볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.54kcal
451,쇠고기모듬버섯찌개,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.51kcal
452,연두부양념장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86.92kcal
453,가지탕수,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,366.79kcal
454,비엔나소시지김치찌개,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,144.2kcal
455,버섯매운탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,59.05kcal
456,안동찜닭,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,224.62kcal
457,쇠고기굴소스볶음밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.63kcal
458,명태무찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114.14kcal
459,닭순살양배추볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,228.38kcal
460,장어순살강정,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,612.58kcal
461,"주스,프레주복숭아",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
462,전복삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,909.68kcal
463,쇠고기우엉조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,105.27kcal
464,아귀순살콩나물찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145.3kcal
465,갈비탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.12kcal
466,오징어삼겹볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,500.67kcal
467,바나나우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal
468,미트볼데리야끼조림,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,436.45kcal
469,삼겹살고추장볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,610.82kcal
470,닭순살피망볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,225.09kcal
471,"연세두유고소한아몬드&잣두유, 200mL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
472,생선묵김치찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.35kcal
473,돼지고기찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,131.9kcal
474,꽈리고추멸치조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.83kcal
475,오리고추장주물럭,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285.81kcal
476,바나나맛우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.4kcal
477,돈육청경채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,395.88kcal
478,주꾸미볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145.01kcal
479,블루베리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.65249kcal
480,황태채국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9kcal
481,돼지고기청경채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,407.93kcal
482,돈육김치찌개,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.9kcal
483,오징어튀김칠리,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,517.91kcal
484,돼지고기호박볶음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,122.56kcal
485,갑오징어야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,186.33kcal
486,게맛살야채튀김,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,414.3kcal
487,골뱅이고추장볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.18kcal
488,쇠고기느타리버섯국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62.1kcal
489,홍합살무국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.83kcal
490,훈제오리파프리카볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.47kcal
491,불닭볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,303.07kcal
492,어향돈육가지볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.69kcal
493,북경식탕수육 ,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,500.16kcal
494,고등어순살카레튀김,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,494.53kcal
495,갈치순살카레튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,468.73kcal
496,시금치국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.52kcal
497,혼합시리얼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.32kcal
498,북어채국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.58kcal
499,새송이버섯야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,124.93kcal
500,버섯된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68kcal
501,양념통닭,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,838.95kcal
502,콩나물무채국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81kcal
503,감자된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.13kcal
504,햄슬라이스버거,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,601.22kcal
505,햄야채덮밥,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,586.43kcal
506,우엉조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.39kcal
507,김치찌개,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.66kcal
508,매콤새송이브로콜리볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.91kcal
509,참치김치덮밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.33kcal
510,돈육고추장찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,141.04kcal
511,오리김치조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266.97kcal
512,마늘소스돼지고기강정,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,648.17kcal
513,얼갈이배추된장무침,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.05kcal
514,쇠고기오이볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.64kcal
515,돼지고기가지볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,337.88kcal
516,미더덕된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.86kcal
517,꽈리고추감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.49kcal
518,아욱고추장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.66kcal
519,시금치무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.92kcal
520,강된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.63kcal
521,무두부조개탕,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72.34kcal
522,참돔순살튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,353.92kcal
523,호박볶음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,83.87kcal
524,무국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.06kcal
525,버섯잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8kcal
526,꽈리고추조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23kcal
527,마늘종무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.07kcal
528,미트볼양념조림,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,443.26kcal
529,세척사과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.838kcal
530,낙지새우볶음,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200.18kcal
531,게맛살튀김,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,369.55kcal
532,햄치즈에그버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1245.88kcal
533,피조갯살삼겹볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,447.08kcal
534,훈제오리샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.28kcal
535,불닭덮밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,749.4kcal
