,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1020,미나리나물,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67kcal,50 g,29,2,1,1,150,--
1021,고추참치통조림찌개,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.17kcal,1 캔,150,-,12,9,--,--
1022,에그햄치즈버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1340.36kcal,100 ml,60,4,3,3,46,7
1023,요구르트떠먹는형,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96kcal,1 컵,109,11,5,6,72,16
1024,쇠고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181.69kcal,1 포,119,24,1,4,6,--
1025,음료수과일맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4kcal,1 ml,100,25,-,-,30,--
1026,부추된장샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.94kcal,2 TBS,50,6,3,1,--,--
1027,숙성김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5kcal,250 g (약8개),685,88,29,17,952,17
1028,꿔바로우,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,467.35kcal,200 grams,384,33,17,22,878,52
1029,현동낙지볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255.34kcal,1 인분,243,11,15,15,"1,962",25
1030,풋마늘양념무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70.02kcal,25 g,24,5,-,1,470,--
1031,달래된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.83kcal,250 g,120,11,1,7,"1,173",--
1032,오리깻잎불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364.25kcal,200 g,140,5,7,11,170,45
1033,견과 혼합식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.3kcal,1 ea,70,5,4,2,--,--
1034,패주미역국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27.12kcal,1 그릇,65,4,4,5,320,17
1035,양파볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.52kcal,50 g,60,7,1,6,390,10
1036,키조개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26kcal,80 g,45,-,-,8,208,--
1037,사과샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.45kcal,200 g,261,21,15,11,385,13
1038,오이풋고추쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.34kcal,1 개 중간크기,24,5,2,1,4,--
1039,명태순살강정,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,427.22kcal,100 g,340,29,16,21,170,80
1040,콩나물돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,365.57kcal,100 g,151,5,10,10,140,30
1041,토마토계란볶음,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94.69kcal,1 봉,355,73,2,10,"1,160",--
1042,고등어튀김양념장소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396.77kcal,100 g,200,15,10,10,--,--
1043,두유 고칼슘,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140kcal,1 pack(200ml),130,11,6,7,160,--
1044,쌀국수사골맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 ea,335,71,2,7,"1,320",--
1045,진라면매운맛용기라면,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,1 봉지,500,80,15,11,--,--
1046,꽁치김치조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.05kcal,180 g,325,18,21,16,"1,550",85
