,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1820,참치옥수수샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4.977777777777778,4.355555555555555,0.6222222222222222,90.22222222222223,1.5555555555555556
1821,들깨삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,814,24.42,48.84,73.26,2035.0,488.4
1822,청경채된장나물,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4.615384615384615,0.0,2.3076923076923075,150.0,0.0
1823,파채돈까스,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,560,77.77777777777777,9.333333333333334,40.44444444444444,1057.7777777777778,0.0
1824,볶음진짬뽕,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,409,60.89555555555555,14.542222222222222,8.18,908.8888888888889,9.088888888888889
1825,쌀국수얼큰한맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,77.0,1.0,10.0,585.0,5.0
1826,갈치튀김데리야끼소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,354,86.93823529411765,0.0,5.205882352941177,0.0,0.0
1827,까르보불닭볶음면봉지라면,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,423,64.60363636363637,15.381818181818181,6.152727272727272,1022.8909090909091,0.0
1828,새우탕큰사발용기라면,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,541,83.314,18.394,10.82,1720.38,10.82
1829,호박새우젓찌개,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,113,2.973684210526316,0.0,20.81578947368421,20310.263157894737,0.0
1830,미역초무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5.6,0.0,0.6222222222222222,620.3555555555556,0.0
1831,짜장떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,321,80.25,0.0,0.0,11.464285714285714,0.0
1832,두부구이,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,6.575757575757576,10.95959595959596,21.91919191919192,81.1010101010101,0.0
1833,꼬리곰탕버섯찌개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1.2078431372549019,11.172549019607843,30.8,231.0,75.7921568627451
1834,양념치킨큰사발용기라면,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,73.0,19.0,9.0,0.0,0.0
1835,용기라면,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,466,66.0,18.0,7.0,1229.0,0.0
1836,갑오징어튀김,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,483,56.7,25.2,6.3,0.0,21.0
1837,커피 파우치형,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,30.0,6.0,2.0,20.0,5.0
1838,큰컵까르보불닭볶음면용기라면,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,405,54.287234042553195,18.095744680851062,6.031914893617022,1025.4255319148936,0.0
1839,대왕오징어튀김,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,535,62.80434782608695,27.91304347826087,6.978260869565218,0.0,23.26086956521739
