,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
1339,바나나우유 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0,23.123076923076923,5.138461538461539,5.138461538461539,96.34615384615384,12.846153846153848,9
1340,팝콘형치킨 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.0,101.84210526315788,20.36842105263158,0.0,780.7894736842105,33.94736842105263,6
1341,육고기소스비빔밥 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,648.0,99.10588235294118,19.058823529411764,17.152941176470588,1143.529411764706,5.7176470588235295,5
1342,열무된장무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,5.389090909090909,1.52,0.5527272727272727,0.0,0.0,8
1343,쇠고기시래기된장국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68.0,6.095617529880478,3.792828685258964,2.5737051792828685,108.6374501992032,0.0,7
1344,갈리새우살버터볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,21.6,4.0,5.2,260.0,0.0,5
1345,갑오징어야채볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178.0,14.24,7.12,12.46,712.0,106.8,5
1346,패주삼겹살볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,494.0,73.18518518518519,18.296296296296298,9.148148148148149,1921.111111111111,0.0,8
1347,콩나물냉채 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,29.187878787878788,0.0,1.018181818181818,101.8181818181818,0.0,9
1348,미트볼매콤볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500.0,52.30769230769231,21.53846153846154,24.615384615384617,0.0,0.0,5
1349,우거지꼬리곰탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.0,3.074509803921569,28.43921568627451,78.4,588.0,192.92549019607844,7
1350,모듬쌈 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,5.813953488372093,1.3565891472868217,3.488372093023256,192.8294573643411,6.976744186046512,8
1351,한우곰탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162.0,9.257142857142858,4.628571428571429,13.885714285714286,0.0,0.0,8
1352,두부두반장조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.0,15.78888888888889,4.511111111111111,24.81111111111111,0.0,0.0,5
1353,방어순살튀김 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.0,109.5,0.0,0.0,58.660714285714285,0.0,7
1354,백색우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,9.384615384615383,5.630769230769231,5.630769230769231,93.84615384615384,28.153846153846157,6
1355,게맛살볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0,6.711111111111111,0.0,5.033333333333333,0.0,0.0,6
1356,오렌지주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,22.892307692307693,0.0,1.476923076923077,0.0,0.0,8
1357,포도주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,18.96153846153846,0.6538461538461539,0.6538461538461539,13.076923076923077,0.0,10
1358,떠먹는발효유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,16.8,1.2,3.6,72.0,12.0,7
1359,오징어무국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49.0,2.956896551724138,1.2672413793103448,6.336206896551724,684.3103448275862,96.73275862068964,9
1360,매콤새송이버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0,26.92537313432836,0.0,3.0597014925373136,9.791044776119405,0.0,6
1361,견과류셋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,13.830508474576272,6.454237288135594,5.532203389830508,281.22033898305085,11.52542372881356,8
