날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-03-06","양파볶음(05)(06)","42.52kcal","짬뽕찌개(05)(06)(17)","93.16kcal","조개국(01)(05)","74.39kcal","","","3077.65kcal"
"2021-03-06","우유(백색우유(200ML,연간))(02)","244kcal","단무지무침","19.09kcal","두부김치(05)(10)","368.26kcal","","","3077.65kcal"
"2021-03-06","","","배추김치(3~4월)","10.5kcal","멸치볶음(05)(06)","80.52kcal","","","3077.65kcal"
"2021-03-06","","","젤리","160kcal","깍두기(임가공)","28.75kcal","","","3077.65kcal"
"2021-03-07","밥","363kcal","찰보리밥","386.7kcal","밥","363kcal","","","2694.37kcal"
"2021-03-07","호박된장찌개(05)(06)","50.9kcal","배추된장국(05)(06)","36.08kcal","들깨미역국(05)","11.03kcal","","","2694.37kcal"
"2021-03-07","비엔나소시지케찹볶음(10)(12)","332.79kcal","돼지고기고추장볶음(05)(06)(10)","510.28kcal","닭갈비(05)(06)(15)","327.96kcal","","","2694.37kcal"
"2021-03-07","맛김","5.25kcal","콩나물무침(05)","33.29kcal","오이풋고추&쌈장(05)(06)","42.34kcal","","","2694.37kcal"
"2021-03-07","배추김치(3~4월)","10.5kcal","깍두기(임가공)","28.75kcal","배추김치(3~4월)","10.5kcal","","","2694.37kcal"
"2021-03-07","우유(백색우유(200ML,연간))(02)","122kcal","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","","","2694.37kcal"
"2021-03-08","밥","363kcal","삼겹살간장덮밥(01)(05)(06)(10)","1061.72kcal","잡곡밥","380.35kcal","","","3244.51kcal"
"2021-03-08","쇠고기미역국(05)(16)","45.06kcal","냉이국(05)(06)","55.2kcal","돼지고기고추장찌개(05)(06)(10)","157.01kcal","","","3244.51kcal"
"2021-03-08","햄슬라이스야채볶음(10)","156.06kcal","가공우유(초코맛)(02)","126kcal","명태순살강정(05)(06)(12)","427.22kcal","","","3244.51kcal"
"2021-03-08","두부매운조림(05)(06)","145.82kcal","사과샐러드(01)","206.45kcal","오이무침","20.25kcal","","","3244.51kcal"
"2021-03-08","깍두기(임가공)","28.75kcal","백김치","15.12kcal","배추김치(3~4월)","10.5kcal","","","3244.51kcal"
"2021-03-08","","","","","사과 주스(200㎖/팩)","46kcal","","","3244.51kcal"
"2021-03-09","밥","363kcal","생우동(05)(06)","396.05kcal","찰보리밥","386.7kcal","","","3184.65kcal"
"2021-03-09","부대찌개(05)(06)(10)","206.39kcal","돈가스(06)(10)","534.51kcal","두부맑은국(05)(09)","33.27kcal","","","3184.65kcal"
"2021-03-09","멸치볶음(05)(06)","80.52kcal","오이양파장아찌(05)(06)","28.37kcal","콩나물돼지불고기(05)(06)(10)","365.57kcal","","","3184.65kcal"
"2021-03-09","계란찜(01)(09)","88.34kcal","배추김치(3~4월)","10.5kcal","배추된장무침(05)(06)","32.69kcal","","","3184.65kcal"
"2021-03-09","배추김치(3~4월)","10.5kcal","짜먹는요구르트(02)","38.4kcal","깍두기(임가공)","28.75kcal","","","3184.65kcal"
"2021-03-09","우유(백색우유(200ML,연간))(02)","122kcal","","","참깨라면,110g(오뚜기,용기라면,다수공급자계약,영내자증식)","459.09kcal","","","3184.65kcal"
"2021-03-10","밥","363kcal","흑미밥","383.63kcal","짬뽕밥(05)(06)(09)(10)","642.95kcal","","","3090.46kcal"
"2021-03-10","배추된장국(05)(06)","36.08kcal","생선묵국(05)(06)","65.68kcal","순두부국(05)(09)","43.46kcal","","","3090.46kcal"
"2021-03-10","소시지야채볶음(05)(06)(10)","297.03kcal","떡볶이(05)(06)(10)","394.54kcal","계란찜(01)(09)","88.34kcal","","","3090.46kcal"
"2021-03-10","오이무침","20.25kcal","야채튀김(01)(06)(12)","424.75kcal","깍두기(임가공)","28.75kcal","","","3090.46kcal"
"2021-03-10","배추김치(3~4월)","10.5kcal","김자반","43kcal","","","","","3090.46kcal"
"2021-03-10","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(3~4월)","10.5kcal","","","","","3090.46kcal"
"2021-03-10","","","딸기맛우유(3사교)","116kcal","","","","","3090.46kcal"
"2021-03-11","밥","363kcal","닭고기덮밥(01)(05)(06)(15)","631.6kcal","새우버거(01)(06)(09)(12)","1023.51kcal","","","2934.20kcal"
"2021-03-11","돼지고기김치찌개(05)(06)(10)","84.99kcal","쇠고기콩나물국(05)(16)","58.67kcal","토마토계란볶음(01)(12)","94.69kcal","","","2934.20kcal"
"2021-03-11","비엔나소시지케찹볶음(10)(12)","332.79kcal","시금치무침(05)(06)","20.7kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","2934.20kcal"
"2021-03-11","맛김","5.25kcal","크림수프","0kcal","","","","","2934.20kcal"
"2021-03-11","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","","","","","2934.20kcal"
"2021-03-11","","","딸기,신선형(딸기(34월))","54kcal","","","","","2934.20kcal"
"2021-03-12","밥","363kcal","콩나물밥(05)(06)","404.02kcal","현미밥","395.67kcal","","","2969.87kcal"
"2021-03-12","계란국(01)(05)","72.73kcal","달래된장국(05)(06)","43.24kcal","순두부찌개(01)(05)(06)(10)","142.21kcal","","","2969.87kcal"
"2021-03-12","표고버섯돼지고기볶음(05)(06)(10)","395.15kcal","고등어튀김양념장소스(05)(06)","396.77kcal","감자채볶음","116.56kcal","","","2969.87kcal"
"2021-03-12","오이무침","20.25kcal","순두부양념장(추가)(05)(06)","76.51kcal","돈육표고장조림(05)(06)(10)","295.21kcal","","","2969.87kcal"
"2021-03-12","깍두기(임가공)","28.75kcal","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","","","2969.87kcal"
"2021-03-12","우유(백색우유(200ML,연간))(02)","122kcal","바나나","76.8kcal","","","","","2969.87kcal"
"2021-03-13","핫도그빵(01)(06)(10)(12)","815.96kcal","흑미밥","383.63kcal","밥","363kcal","","","3055.80kcal"
"2021-03-13","양파볶음(05)(06)","42.52kcal","감자양파찌개(05)(06)","71.13kcal","닭고기육개장(05)(06)(15)","239.58kcal","","","3055.80kcal"
"2021-03-13","우유(백색우유(200ML,연간))(02)","244kcal","돼지불고기(05)(06)(10)","471.76kcal","애호박나물(05)(09)","81.13kcal","","","3055.80kcal"
"2021-03-13","","","오이고추장무침(06)","29.25kcal","황태찜","203.3kcal","","","3055.80kcal"
"2021-03-13","","","배추김치(3~4월)","10.5kcal","배추김치(3~4월)","10.5kcal","","","3055.80kcal"
"2021-03-13","","","한라봉","89.544kcal","","","","","3055.80kcal"
"2021-03-14","밥","363kcal","잡채밥(05)(06)(10)","807.36kcal","찰보리밥","386.7kcal","","","2802.72kcal"
"2021-03-14","쇠고기미역국(05)(16)","45.06kcal","두부고추장찌개(05)(06)(10)","107.44kcal","콩나물국(05)","14.84kcal","","","2802.72kcal"
"2021-03-14","생선묵고추장볶음(05)(06)","169.36kcal","무생채","43.12kcal","제육볶음(05)(06)(10)","562.23kcal","","","2802.72kcal"
"2021-03-14","순두부양념장(05)(06)","62.47kcal","배추김치(3~4월)","10.5kcal","양배추쌈(05)(06)","47.64kcal","","","2802.72kcal"
"2021-03-14","배추김치(3~4월)","10.5kcal","배 주스(238㎖/캔)","40kcal","배추김치(3~4월)","10.5kcal","","","2802.72kcal"
"2021-03-14","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2802.72kcal"
"2021-03-15","밥","363kcal","흑미밥","383.63kcal","밥","363kcal","","","3254.06kcal"
"2021-03-15","조개국(01)(05)","74.39kcal","부대찌개(05)(06)(10)","206.39kcal","버섯된장찌개(05)(06)","47.09kcal","","","3254.06kcal"
"2021-03-15","오징어볶음(05)(06)(17)","262.44kcal","까르보나라떡볶이(10)","310.21kcal","오리불고기(05)(06)","369.2kcal","","","3254.06kcal"
"2021-03-15","맛김","5.25kcal","생선가스(01)(06)","548.12kcal","콩나물무침(05)","33.29kcal","","","3254.06kcal"
"2021-03-15","배추김치(3~4월)","10.5kcal","가공우유(딸기맛)(02)","116kcal","배추김치(3~4월)","10.5kcal","","","3254.06kcal"
"2021-03-15","","","깍두기(임가공)","28.75kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","3254.06kcal"
"2021-03-16","밥","363kcal","비빔밥(05)(06)(16)","661.32kcal","현미밥","395.67kcal","","","2868.12kcal"
"2021-03-16","쇠고기무국(05)(16)","54kcal","순두부해물찌개(01)(05)(17)","109.76kcal","된장국(일품용)(05)(06)","58.29kcal","","","2868.12kcal"
"2021-02-14","김장김치(12~2월)","28.52kcal","곶감","109.915kcal","깍두기(임가공)","28.99kcal","","","2917.68kcal"
"2021-02-14","우유(백색우유(200ML,연간))(02)","122kcal","","","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2917.68kcal"
"2021-02-15","밥","363kcal","치킨마요덮밥(01)(05)(06)","1069.16kcal","흑미밥","383.63kcal","","","2990.39kcal"
"2021-02-15","배추된장국(05)(06)","36.66kcal","콩나물김치국(05)","18.17kcal","조개국(01)(05)","74.41kcal","","","2990.39kcal"
"2021-02-15","맛김","5.25kcal","오이양파장아찌(05)(06)","28.37kcal","현동낙지볶음(05)(06)(10)","392.19kcal","","","2990.39kcal"
"2021-02-15","돼지고기감자조림(05)(06)(10)","242.69kcal","김장김치(12~2월)","28.52kcal","김자반","43kcal","","","2990.39kcal"
"2021-02-15","가공우유(초코맛)(02)","126kcal","","","김장김치(12~2월)","28.52kcal","","","2990.39kcal"
"2021-02-15","김장김치(12~2월)","28.52kcal","","","주스,망고코넛(340ml/캔)","122.3kcal","","","2990.39kcal"
"2021-02-16","밥","363kcal","통새우볶음밥(12)","738.87kcal","찰보리밥","386.7kcal","","","2830.31kcal"
"2021-02-16","순두부해물찌개(01)(05)(17)","110.04kcal","두부김치국(05)","38.71kcal","쇠고기무국(05)(16)","54kcal","","","2830.31kcal"
"2021-02-16","멸치볶음(05)(06)","80.52kcal","오이무침","20.29kcal","계란찜(01)(09)","88.34kcal","","","2830.31kcal"
"2021-02-16","감자조림(05)(06)","92.87kcal","김장김치(12~2월)","28.52kcal","미트볼양념조림(01)(05)(06)(10)(12)","509.41kcal","","","2830.31kcal"
"2021-02-16","김장김치(12~2월)","28.52kcal","두유, 고칼슘(05)","140kcal","김장김치(12~2월)","28.52kcal","","","2830.31kcal"
"2021-02-16","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2830.31kcal"
"2021-02-17","밥","363kcal","흑미밥","383.63kcal","찰보리밥","386.7kcal","","","3104.00kcal"
"2021-02-17","팽이버섯국(05)(06)","43.68kcal","쇠고기미역국(05)(16)","45.06kcal","두부고추장찌개(05)(06)(10)","107.54kcal","","","3104.00kcal"
"2021-02-17","맛김","5.25kcal","제육볶음(05)(06)(10)","597.03kcal","꽈리고추멸치볶음(05)(06)","81.72kcal","","","3104.00kcal"
"2021-02-17","닭고기김치찜(05)(06)(15)","238.21kcal","양배추쌈(05)(06)","53.64kcal","돈가스(06)(10)","534.51kcal","","","3104.00kcal"
"2021-02-17","깍두기(임가공)","28.99kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","3104.00kcal"
"2021-02-17","우유(백색우유(200ML,연간))(02)","122kcal","유산균 발효 음료(02)","56kcal","","","","","3104.00kcal"
"2021-02-18","밥","363kcal","깐풍버섯덮밥(05)(06)(16)","622.96kcal","흑미밥","383.63kcal","","","2961.53kcal"
"2021-02-18","감자호박국(05)(09)","32.19kcal","무청시래기국(05)(06)","42.99kcal","콩나물두부국(05)","25.95kcal","","","2961.53kcal"
"2021-02-18","오징어볶음(05)(06)(17)","265.68kcal","햄슬라이스야채볶음(10)","154.81kcal","1.5소스 깐풍기(01)(05)(06)(15)","566.7kcal","","","2961.53kcal"
"2021-02-18","순두부양념장(추가)(05)(06)","76.53kcal","김장김치(12~2월)","28.52kcal","과일샐러드(01)","165.53kcal","","","2961.53kcal"
"2021-02-18","김장김치(12~2월)","28.52kcal","딸기(1월~2월)","54kcal","김장김치(12~2월)","28.52kcal","","","2961.53kcal"
"2021-02-18","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2961.53kcal"
"2021-02-19","밥","363kcal","콩나물밥(05)(06)","404.55kcal","새우버거(01)(06)(09)(12)","869.11kcal","","","2994.90kcal"
"2021-02-19","계란국(01)(05)","72.73kcal","된장국(일품용)(05)(06)","58.94kcal","토마토계란볶음(01)(12)","123.97kcal","","","2994.90kcal"
"2021-02-19","느타리버섯볶음","74.17kcal","돈육표고장조림(05)(06)(10)","283.01kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","2994.90kcal"
"2021-02-19","두부김치(05)(10)","361.96kcal","시금치고추장무침(05)(06)","39.41kcal","","","","","2994.90kcal"
"2021-02-19","깍두기(임가공)","28.99kcal","김장김치(12~2월)","28.52kcal","","","","","2994.90kcal"
"2021-02-19","","","배(신고)","42.5375kcal","","","","","2994.90kcal"
"2021-02-20","밥","363kcal","현미밥","395.67kcal","밥","363kcal","","","2957.92kcal"
"2021-02-20","부대찌개(05)(06)(10)","206.39kcal","시금치된장국(05)(06)(18)","54.86kcal","얼큰북어채국(01)(05)","67.31kcal","","","2957.92kcal"
"2021-02-20","오징어채간장볶음(05)(06)(17)","94.68kcal","돼지불고기(05)(06)(10)","471.76kcal","감자채볶음","116.66kcal","","","2957.92kcal"
"2021-02-20","콩나물매운무침(05)","35.27kcal","계란찜(01)(09)","88.34kcal","오리불고기(05)(06)","384.52kcal","","","2957.92kcal"
"2021-02-20","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","백김치","15.12kcal","","","2957.92kcal"
"2021-02-20","우유(백색우유(200ML,연간))(02)","122kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","","","2957.92kcal"
"2021-02-21","밥","363kcal","찹쌀밥","386.34kcal","밥","363kcal","","","2574.05kcal"
"2021-02-21","돼지고기김치찌개(05)(06)(10)","84.76kcal","닭곰탕(05)(15)","179.53kcal","감자양파찌개(05)(06)","70.75kcal","","","2574.05kcal"
"2021-02-21","맛김","5.25kcal","궁중떡볶이(05)(06)(16)","421.58kcal","전복장조림(05)(06)(18)","104.73kcal","","","2574.05kcal"
"2021-02-21","생선묵조림(05)(06)","91.59kcal","오이부추무침","28.73kcal","콩나물무침(05)","34.93kcal","","","2574.05kcal"
"2021-02-21","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","2574.05kcal"
"2021-02-21","우유(백색우유(200ML,연간))(02)","122kcal","견과, 혼합식","136.3kcal","오렌지 주스(200㎖/팩)","96kcal","","","2574.05kcal"
"2021-02-21","","","쌀국수,사골맛(한스코리아)","","진라면매운맛,110g용기라면(다수공급자계약,영내자증식,오뚜기)","","","","2574.05kcal"
"2021-02-22","밥","363kcal","찰보리밥","386.7kcal","밥","363kcal","","","2970.67kcal"
"2021-02-22","두부김치국(05)","38.71kcal","꽃게탕(05)(06)","88.83kcal","들깨미역국(05)","11.63kcal","","","2970.67kcal"
"2021-02-22","비엔나소시지케찹볶음(10)(12)","331.54kcal","꿔바로우(05)(06)(10)","499.21kcal","치즈불닭(05)(06)(15)","344.58kcal","","","2970.67kcal"
"2021-02-22","오이고추장무침(06)","29.25kcal","매쉬포테이토","102.1kcal","단무지무침","19.09kcal","","","2970.67kcal"
"2021-02-22","가공우유(바나나맛)(02)","167kcal","깍두기(임가공)","28.99kcal","김장김치(12~2월)","28.52kcal","","","2970.67kcal"
"2021-02-22","김장김치(12~2월)","28.52kcal","두유, 고칼슘(05)","140kcal","","","","","2970.67kcal"
"2021-02-23","밥","363kcal","찹쌀밥","386.34kcal","오징어덮밥(05)(06)(17)","592.04kcal","","","3623.43kcal"
"2021-02-23","배추된장국(05)(06)","36.66kcal","한우갈비탕(05)(16)","447.89kcal","무청시래기국(05)(06)","42.99kcal","","","3623.43kcal"
"2021-02-23","오징어채볶음(01)(05)(06)(17)","125.68kcal","표고버섯돼지고기볶음(05)(06)(10)","480.03kcal","치킨너겟(01)(06)(15)","574.39kcal","","","3623.43kcal"
"2021-02-23","두부매운조림(05)(06)","155.78kcal","계란찜(01)(09)","88.34kcal","파김치","21.24kcal","","","3623.43kcal"
"2021-02-23","김장김치(12~2월)","28.52kcal","깍두기(임가공)","28.99kcal","배 주스(238㎖/캔)","40kcal","","","3623.43kcal"
"2021-02-23","우유(백색우유(200ML,연간))(02)","122kcal","한라봉","89.544kcal","","","","","3623.43kcal"
"2021-02-24","밥","363kcal","잡곡밥","380.35kcal","밥","363kcal","","","3124.94kcal"
"2021-02-24","쇠고기미역국(05)(16)","45.06kcal","냉이국(05)(06)","53.07kcal","순두부찌개(01)(05)(06)(10)","186.91kcal","","","3124.94kcal"
"2021-02-24","맛김","5.25kcal","삼겹살구이(05)(06)(10)","747.91kcal","고등어튀김양념장소스(05)(06)","391.12kcal","","","3124.94kcal"
"2021-02-24","궁중닭찜(05)(06)(15)","278.47kcal","부추된장샐러드(05)(06)","47.99kcal","오이고추장무침(06)","29.25kcal","","","3124.94kcal"
"2021-02-24","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","3124.94kcal"
"2021-02-24","우유(백색우유(200ML,연간))(02)","122kcal","레몬에이드","26kcal","","","","","3124.94kcal"
"2021-02-25","밥","363kcal","밥1","181.5kcal","햄치즈버거(01)(02)(06)(10)(12)","1064.65kcal","","","3228.47kcal"
"2021-02-25","돼지고기김치찌개(05)(06)(10)","84.76kcal","사골떡왕만둣국(01)(05)(06)(10)","556.61kcal","고구마샐러드(01)","223.75kcal","","","3228.47kcal"
"2021-02-25","두부엿장조림(05)(06)","129.17kcal","연근닭순살조림(05)(06)(15)","187.52kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3228.47kcal"
"2021-02-25","콩나물매운무침(05)","35.27kcal","오징어젓무침(17)","49.57kcal","","","","","3228.47kcal"
"2021-02-25","깍두기(임가공)","28.99kcal","크림수프","0kcal","","","","","3228.47kcal"
"2021-02-25","","","김장김치(12~2월)","28.52kcal","","","","","3228.47kcal"
"2021-02-25","","","사과(후지)","51.156kcal","","","","","3228.47kcal"
"2021-02-26","밥","363kcal","마파두부덮밥(05)(06)(10)","884.27kcal","찹쌀밥","386.34kcal","","","3180.63kcal"
"2021-02-26","버섯된장찌개(05)(06)","47.83kcal","명태매운탕(05)(06)","120.87kcal","어묵김칫국(05)(06)","72.19kcal","","","3180.63kcal"
"2021-02-26","꽁치김치조림(05)(06)","104.05kcal","고구마맛탕","353.59kcal","쇠고기느타리버섯잡채(05)(06)(16)","307.13kcal","","","3180.63kcal"
"2021-02-26","순두부양념장(05)(06)","66.81kcal","파김치","21.24kcal","시금치무침(05)(06)","21.8kcal","","","3180.63kcal"
"2021-02-26","깍두기(임가공)","28.99kcal","아이스샌드","252kcal","김장김치(12~2월)","28.52kcal","","","3180.63kcal"
"2021-02-26","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3180.63kcal"
"2021-02-27","불고기버거(01)(06)(10)(12)","655.42kcal","잡곡밥","380.35kcal","밥","363kcal","","","2731.37kcal"
"2021-02-27","양파볶음(05)(06)","40.67kcal","계란국(01)(05)","72.73kcal","매운버섯국(05)(06)","54.13kcal","","","2731.37kcal"
"2021-02-27","우유(백색우유(200ML,연간))(02)","244kcal","돼지불고기(05)(06)(10)","471.76kcal","계란찜(01)(09)","88.34kcal","","","2731.37kcal"
"2021-02-27","","","배추된장무침(05)(06)","34kcal","쇠고기(캔)야채조림(05)(06)","179.92kcal","","","2731.37kcal"
"2021-02-27","","","깍두기(임가공)","28.99kcal","김장김치(12~2월)","28.52kcal","","","2731.37kcal"
"2021-02-27","","","한라봉","89.544kcal","","","","","2731.37kcal"
"2021-02-28","밥","363kcal","카레밥(06)(10)","613.8kcal","찰보리밥","386.7kcal","","","2849.74kcal"
"2021-02-28","쇠고기감자국(05)(16)","62.42kcal","부대찌개(05)(06)(10)","206.39kcal","순두부국(05)(09)","40.63kcal","","","2849.74kcal"
"2021-02-28","오징어볶음(05)(06)(17)","265.68kcal","골뱅이굴소스볶음(05)(06)","148.95kcal","닭갈비(05)(06)(15)","329.02kcal","","","2849.74kcal"
"2021-02-28","맛김","5.25kcal","김장김치(12~2월)","28.52kcal","오이풋고추&쌈장(05)(06)","48.34kcal","","","2849.74kcal"
"2021-02-28","김장김치(12~2월)","28.52kcal","과일푸딩","126kcal","김장김치(12~2월)","28.52kcal","","","2849.74kcal"
"2021-02-28","우유(백색우유(200ML,연간))(02)","122kcal","","","사과 주스(200㎖/팩)","46kcal","","","2849.74kcal"
"2021-03-01","밥","363kcal","잡곡밥","380.35kcal","밥","363kcal","","","2579.21kcal"
"2021-03-01","어묵김칫국(05)(06)","65.45kcal","계란국(01)(05)","72.73kcal","쇠고기육개장(01)(05)(06)(16)","136.48kcal","","","2579.21kcal"
"2021-01-30","우유(백색우유(200ML,연간))(02)","244kcal","김장김치(12~2월)","28.27kcal","시금치무침(05)(06)","20.38kcal","","","2759.60kcal"
"2021-01-30","","","감귤","63.96kcal","김장김치(12~2월)","28.27kcal","","","2759.60kcal"
"2021-01-31","밥","363kcal","잡곡밥","381.2kcal","불고기덮밥(05)(06)(16)","604.2kcal","","","2874.90kcal"
"2021-01-31","돼지고기김치찌개(05)(06)(10)","84.76kcal","배추된장국(05)(06)","37.32kcal","조개국(01)(05)","74.41kcal","","","2874.90kcal"
"2021-01-31","쇠고기(캔)야채조림O564:쇠고기(캔)야채조림대(05)(06)","74.39kcal","오삼불고기(05)(06)(10)(17)","490.09kcal","두부김치(05)(10)","359.5kcal","","","2874.90kcal"
"2021-01-31","오이양파장아찌(05)(06)","27.86kcal","오이풋고추&쌈장(05)(06)","48.34kcal","깍두기(임가공)","28.99kcal","","","2874.90kcal"
"2021-01-31","김장김치(12~2월)","28.27kcal","김장김치(12~2월)","28.27kcal","","","","","2874.90kcal"
"2021-01-31","우유(백색우유(200ML,연간))(02)","122kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","","","2874.90kcal"
"2021-02-01","밥","363kcal","짬뽕밥(05)(06)(09)(10)","642.56kcal","현미밥","395.67kcal","","","3098.75kcal"
"2021-02-01","두부고추장찌개(05)(06)(10)","107.54kcal","순두부백탕(01)(05)(18)","127.34kcal","무청시래기국(05)(06)","42.99kcal","","","3098.75kcal"
"2021-02-01","맛김","5.25kcal","만두튀김(01)(05)(06)(10)","522.7kcal","쇠고기불고기(05)(06)(16)","342.37kcal","","","3098.75kcal"
"2021-02-01","고등어순살조림(05)(06)(07)","167.48kcal","김장김치(12~2월)","28.52kcal","오이무침","20.29kcal","","","3098.75kcal"
"2021-02-01","김장김치(12~2월)","28.52kcal","우유,살균형(바나나)","154kcal","김장김치(12~2월)","28.52kcal","","","3098.75kcal"
"2021-02-01","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3098.75kcal"
"2021-02-02","밥","363kcal","삼겹살간장덮밥(01)(05)(06)(10)","1113.92kcal","현미밥","395.67kcal","","","3463.87kcal"
"2021-02-02","오징어찌개(05)(06)(17)","62.83kcal","콩나물무채국(05)","27.04kcal","매운버섯국(05)(06)","54.13kcal","","","3463.87kcal"
"2021-02-02","애호박나물(05)(09)","81.23kcal","과일샐러드(01)","165.53kcal","감자채볶음","116.66kcal","","","3463.87kcal"
"2021-02-02","계란찜(01)(09)","88.34kcal","백김치","15.12kcal","닭강정(01)(05)(06)(12)(15)","675.36kcal","","","3463.87kcal"
"2021-02-02","김장김치(12~2월)","28.52kcal","아이스 망고바","126kcal","김장김치(12~2월)","28.52kcal","","","3463.87kcal"
"2021-02-02","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3463.87kcal"
"2021-02-03","밥","363kcal","비빔밥(05)(06)(16)","662.79kcal","전투식량S형(쇠고기고추장비빔밥","1082kcal","","","3356.33kcal"
"2021-02-03","돼지고기김치찌개(05)(06)(10)","84.76kcal","쇠고기무국(05)(16)","54kcal","감자양파찌개(05)(06)","70.75kcal","","","3356.33kcal"
"2021-02-03","비엔나소시지케찹볶음(10)(12)","331.54kcal","조기튀김(06)","364kcal","무나물(05)","53.52kcal","","","3356.33kcal"
"2021-02-03","맛김","5.25kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","3356.33kcal"
"2021-02-03","김장김치(12~2월)","28.52kcal","사과(후지)","51.156kcal","레몬에이드","26kcal","","","3356.33kcal"
"2021-02-03","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3356.33kcal"
"2021-02-04","밥","363kcal","찹쌀밥","386.34kcal","흑미밥","383.63kcal","","","3021.39kcal"
"2021-02-04","호박된장찌개(05)(06)","51.55kcal","순두부해물찌개(01)(05)(17)","110.04kcal","닭고기육개장(05)(06)(15)","246.11kcal","","","3021.39kcal"
"2021-02-04","쇠고기버섯볶음(05)(06)(16)","244.14kcal","햄게맛살볶음(10)(12)","163.9kcal","생선가스(01)(06)","537.85kcal","","","3021.39kcal"
"2021-02-04","오징어젓무침(17)","49.57kcal","오이부추무침","28.73kcal","감자샐러드(01)","194.97kcal","","","3021.39kcal"
"2021-02-04","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","3021.39kcal"
"2021-02-04","우유(백색우유(200ML,연간))(02)","122kcal","딸기(1월~2월)","54kcal","","","","","3021.39kcal"
"2021-02-05","밥","363kcal","찰보리밥","386.7kcal","햄치즈버거(01)(02)(06)(10)(12)","1064.65kcal","","","3121.70kcal"
"2021-02-05","소시지찌개(05)(06)(10)","218.4kcal","닭볶음탕(05)(06)(15)","271.37kcal","고구마샐러드(01)","223.75kcal","","","3121.70kcal"
"2021-02-05","멸치볶음(05)(06)","80.52kcal","버섯된장찌개(05)(06)","47.83kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3121.70kcal"
"2021-02-05","콩나물매운무침(05)","35.27kcal","두부엿장조림(05)(06)","129.17kcal","","","","","3121.70kcal"
"2021-02-05","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","","","3121.70kcal"
"2021-02-06","밥","363kcal","잡곡밥","380.35kcal","밥","363kcal","","","2658.82kcal"
"2021-02-06","콩나물김치국(05)","18.17kcal","들깨미역국(05)","11.63kcal","쇠고기무국(05)(16)","54kcal","","","2658.82kcal"
"2021-02-06","삼치순살조림(05)(06)","124.07kcal","애호박나물(05)(09)","81.23kcal","꽈리고추멸치볶음(05)(06)","81.72kcal","","","2658.82kcal"
"2021-02-06","오이무침","20.29kcal","닭갈비(05)(06)(15)","329.02kcal","두부매운조림(05)(06)","155.78kcal","","","2658.82kcal"
"2021-02-06","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","김장김치(12~2월)","28.52kcal","","","2658.82kcal"
"2021-02-06","우유(백색우유(200ML,연간))(02)","122kcal","건빵(참깨맛)","249kcal","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2658.82kcal"
"2021-02-06","","","젤리","160kcal","","","","","2658.82kcal"
"2021-02-07","핫도그빵(01)(06)(10)(12)","659.28kcal","잡곡밥","380.35kcal","밥","363kcal","","","2881.56kcal"
"2021-02-07","양파볶음(05)(06)","40.67kcal","쇠고기육개장(01)(05)(06)(16)","149.51kcal","콩나물두부국(05)","25.95kcal","","","2881.56kcal"
"2021-02-07","스크램블에그(01)","131.98kcal","깻잎볶음(05)(06)(10)","278.08kcal","오삼불고기(05)(06)(10)(17)","474.23kcal","","","2881.56kcal"
"2021-02-07","우유(백색우유(200ML,연간))(02)","244kcal","김자반","43kcal","배추된장무침(05)(06)","34kcal","","","2881.56kcal"
"2021-02-07","","","김장김치(12~2월)","28.52kcal","깍두기(임가공)","28.99kcal","","","2881.56kcal"
